Ticker,Nome da Empresa,Volume,Fechamento Anterior,Fechamento Mínimo,Fechamento Máximo,Última do Mês,(Dia),Variação (Mês),Variação (Ano)
ABEV3,AMBEV S/A,103.35 M,"R$ 11,67","R$ 11,65","R$ 11,76","R$ 11,72",+0.43%,+3.90%,-17.98%
ALOS3,ALLOS,29.29 M,"R$ 21,68","R$ 21,59","R$ 21,99","R$ 21,62",-0.28%,+4.75%,-6.45%
ALPA4,ALPARGATAS,8.30 M,"R$ 8,91","R$ 8,93","R$ 9,07","R$ 9,04",+1.46%,+0.22%,+6.48%
ARZZ3,AREZZO CO,13.22 M,"R$ 52,58","R$ 52,00","R$ 53,32","R$ 52,38",-0.38%,+6.14%,-34.17%
ASAI3,ASSAI,42.59 M,"R$ 0,00","R$ 10,42","R$ 10,67","R$ 10,56",+1.44%,-2.76%,-13.37%
AZUL4,AZUL,39.97 M,"R$ 8,19","R$ 8,25","R$ 8,49","R$ 8,33",+1.71%,+7.76%,-51.00%
B3SA3,B3,84.33 M,"R$ 11,17","R$ 11,21","R$ 11,36","R$ 11,27",+0.90%,+9.21%,-20.47%
BBAS3,BRASIL,145.13 M,"R$ 27,19","R$ 27,15","R$ 27,43","R$ 27,18",-0.04%,+0.00%,+22.87%
BBDC3,BRADESCO,30.70 M,"R$ 11,50","R$ 11,46","R$ 11,61","R$ 11,50",+0.00%,+0.00%,-15.49%
BBDC4,BRADESCO,91.62 M,"R$ 12,56","R$ 12,54","R$ 12,70","R$ 12,58",+0.16%,+1.50%,-17.99%
BBSE3,BBSEGURIDADE,21.49 M,"R$ 34,38","R$ 34,15","R$ 34,51","R$ 34,26",-0.35%,+4.74%,+21.59%
BEEF3,MINERVA,8.71 M,"R$ 6,59","R$ 6,49","R$ 6,63","R$ 6,52",-1.06%,-0.91%,-32.49%
BPAC11,BTGP BANCO,148.26 M,"R$ 31,68","R$ 31,68","R$ 32,24","R$ 31,86",+0.57%,+1.18%,-1.44%
BRAP4,BRADESPAR,15.23 M,"R$ 18,92","R$ 18,77","R$ 19,08","R$ 18,89",-0.16%,+3.62%,-5.88%
BRFS3,BRF SA,166.69 M,"R$ 20,81","R$ 20,36","R$ 21,23","R$ 20,50",-1.49%,+0.94%,+138.93%
BRKM5,BRASKEM,10.79 M,"R$ 18,41","R$ 18,09","R$ 18,59","R$ 18,12",-1.58%,+0.95%,-26.28%
CCRO3,CCR SA,22.96 M,"R$ 12,56","R$ 12,51","R$ 12,76","R$ 12,54",-0.16%,+5.20%,-3.24%
CIEL3,CIELO,81.51 M,"R$ 5,74","R$ 5,73","R$ 5,75","R$ 5,74",+0.00%,+1.59%,+23.89%
CMIG4,CEMIG,46.84 M,"R$ 10,93","R$ 10,65","R$ 11,05","R$ 10,69",-2.20%,+5.58%,+24.25%
CMIN3,CSN MINERACA,27.97 M,"R$ 5,21","R$ 5,10","R$ 5,25","R$ 5,15",-1.15%,+0.00%,+35.27%
COGN3,COGNA ON,21.88 M,"R$ 1,72","R$ 1,68","R$ 1,75","R$ 1,69",-1.74%,+4.32%,-49.40%
CPFE3,CPFL ENERGIA,23.35 M,"R$ 33,32","R$ 32,66","R$ 33,47","R$ 32,75",-1.71%,+0.74%,+3.74%
CPLE6,COPEL,47.59 M,"R$ 10,15","R$ 10,07","R$ 10,22","R$ 10,07",-0.79%,+11.52%,+31.12%
CRFB3,CARREFOUR BR,21.35 M,"R$ 10,24","R$ 10,17","R$ 10,37","R$ 10,17",-0.68%,+14.01%,-3.42%
CSAN3,COSAN,43.82 M,"R$ 13,88","R$ 13,80","R$ 14,08","R$ 13,88",+0.00%,+9.46%,-25.86%
CSNA3,SID NACIONAL,43.09 M,"R$ 12,64","R$ 12,43","R$ 12,74","R$ 12,50",-1.11%,-3.85%,+8.91%
CVCB3,CVC BRASIL,11.96 M,"R$ 1,87","R$ 1,85","R$ 1,92","R$ 1,86",-0.53%,-2.62%,-38.00%
CYRE3,CYRELA REALT,30.07 M,"R$ 19,85","R$ 20,01","R$ 20,40","R$ 20,30",+2.27%,+9.20%,-4.85%
DXCO3,DEXCO,8.25 M,"R$ 6,80","R$ 6,78","R$ 6,97","R$ 6,95",+2.21%,+4.35%,-2.76%
EGIE3,ENGIE BRASIL,14.59 M,"R$ 46,07","R$ 45,58","R$ 46,39","R$ 45,77",-0.65%,+0.00%,+8.58%
ELET3,ELETROBRAS,74.92 M,"R$ 37,61","R$ 37,00","R$ 37,90","R$ 37,09",-1.38%,+7.54%,-0.89%
ELET6,ELETROBRAS,8.71 M,"R$ 42,26","R$ 41,54","R$ 42,35","R$ 41,60",-1.56%,+0.00%,+2.42%
EMBR3,EMBRAER,336.70 M,"R$ 41,05","R$ 41,23","R$ 43,31","R$ 42,15",+2.68%,+0.00%,+145.34%
ENEV3,ENEVA,22.92 M,"R$ 12,83","R$ 12,59","R$ 13,02","R$ 12,62",-1.64%,+2.60%,+3.44%
ENGI11,ENERGISA,32.92 M,"R$ 46,99","R$ 46,28","R$ 47,09","R$ 46,50",-1.04%,+5.49%,-2.34%
EQTL3,EQUATORIAL,154.48 M,"R$ 32,80","R$ 32,40","R$ 33,19","R$ 32,59",-0.64%,+13.16%,-2.22%
EZTC3,EZTEC,17.81 M,"R$ 14,30","R$ 14,15","R$ 14,52","R$ 14,36",+0.42%,+11.49%,-25.70%
FLRY3,FLEURY,8.38 M,"R$ 0,00","R$ 15,31","R$ 15,60","R$ 15,53",+0.91%,+9.68%,+6.13%
GGBR4,GERDAU,52.82 M,"R$ 18,68","R$ 18,61","R$ 18,84","R$ 18,73",+0.27%,+7.64%,-13.71%
GOAU4,GERDAU MET,15.29 M,"R$ 10,99","R$ 10,98","R$ 11,10","R$ 11,04",+0.45%,+7.81%,-3.18%
HAPV3,HAPVIDA,38.96 M,"R$ 3,94","R$ 3,94","R$ 4,02","R$ 3,96",+0.51%,+8.49%,-4.81%
HYPE3,HYPERA,70.40 M,"R$ 28,17","R$ 28,03","R$ 28,50","R$ 28,26",+0.32%,+0.00%,-33.51%
IGTI11,IGUATEMI S.A,15.10 M,"R$ 21,40","R$ 21,27","R$ 21,60","R$ 21,29",-0.51%,+9.18%,+0.34%
IRBR3,IRBBRASIL RE,11.70 M,"R$ 31,40","R$ 30,71","R$ 32,15","R$ 30,83",-1.82%,+0.00%,-36.21%
ITSA4,ITAUSA,35.64 M,"R$ 10,26","R$ 10,27","R$ 10,40","R$ 10,36",+0.97%,+6.59%,+21.42%
ITUB4,ITAUUNIBANCO,326.48 M,"R$ 34,00","R$ 34,06","R$ 34,62","R$ 34,55",+1.62%,+9.05%,+0.00%
JBSS3,JBS,93.02 M,"R$ 31,45","R$ 30,97","R$ 31,88","R$ 31,18",-0.86%,+5.59%,+72.74%
KLBN11,KLABIN S/A,19.17 M,"R$ 21,41","R$ 21,42","R$ 21,75","R$ 21,75",+1.59%,+5.79%,+7.30%
LREN3,LOJAS RENNER,53.22 M,"R$ 13,16","R$ 13,17","R$ 13,46","R$ 13,22",+0.46%,+6.79%,-23.12%
LWSA3,LOCAWEB,10.75 M,"R$ 4,45","R$ 4,32","R$ 4,50","R$ 4,35",-2.25%,+8.21%,-38.12%
MGLU3,MAGAZ LUIZA,103.04 M,"R$ 12,67","R$ 12,60","R$ 12,99","R$ 12,63",-0.32%,+18.37%,-56.17%
MRFG3,MARFRIG,38.28 M,"R$ 11,22","R$ 10,79","R$ 11,30","R$ 10,87",-3.12%,-2.34%,+53.11%
MRVE3,MRV,25.69 M,"R$ 6,76","R$ 6,77","R$ 6,96","R$ 6,79",+0.44%,+3.35%,-50.07%
MULT3,MULTIPLAN,37.59 M,"R$ 24,38","R$ 24,39","R$ 24,69","R$ 24,51",+0.53%,+11.32%,-1.38%
NTCO3,GRUPO NATURA,34.37 M,"R$ 15,14","R$ 15,02","R$ 15,34","R$ 15,04",-0.66%,+0.94%,-6.32%
PCAR3,P.ACUCAR-CBD,21.94 M,"R$ 2,91","R$ 2,82","R$ 2,95","R$ 2,89",-0.69%,+0.00%,-86.72%
PETR3,PETROBRAS,93.89 M,"R$ 41,60","R$ 41,10","R$ 41,84","R$ 41,74",+0.34%,+0.00%,+49.23%
PETR4,PETROBRAS,358.82 M,"R$ 38,53","R$ 38,39","R$ 38,77","R$ 38,54",+0.03%,+5.59%,+56.25%
PETZ3,PETZ,8.71 M,"R$ 3,92","R$ 3,85","R$ 3,97","R$ 3,89",-0.77%,+13.41%,-36.56%
PRIO3,PETRORIO,51.52 M,"R$ 45,47","R$ 45,21","R$ 45,76","R$ 45,37",-0.22%,+0.00%,+2.81%
RADL3,RAIADROGASIL,47.36 M,"R$ 25,66","R$ 25,60","R$ 26,01","R$ 25,95",+1.13%,+4.84%,-7.67%
RAIL3,RUMO S.A.,50.89 M,"R$ 22,65","R$ 22,69","R$ 22,94","R$ 22,77",+0.53%,+16.17%,-0.28%
RAIZ4,RAIZEN,12.32 M,"R$ 3,12","R$ 3,10","R$ 3,16","R$ 3,10",-0.64%,+11.51%,-22.59%
RDOR3,REDE D OR,41.04 M,"R$ 28,34","R$ 28,36","R$ 28,84","R$ 28,38",+0.14%,+10.80%,-12.89%
RECV3,PETRORECONCA,12.79 M,"R$ 0,00","R$ 20,79","R$ 21,15","R$ 21,00",+0.77%,+11.70%,+11.64%
RENT3,LOCALIZA,142.16 M,"R$ 43,47","R$ 43,45","R$ 43,98","R$ 43,51",+0.09%,+10.90%,-35.95%
RRRP3,3R PETROLEUM,17.38 M,"R$ 27,29","R$ 27,15","R$ 27,67","R$ 27,34",+0.18%,+7.22%,-20.04%
SANB11,SANTANDER BR,9.50 M,"R$ 28,93","R$ 28,91","R$ 29,19","R$ 29,05",+0.41%,+5.29%,+0.43%
SBSP3,SABESP,2.776.39 M,"R$ 82,02","R$ 80,59","R$ 85,10","R$ 83,55",+1.87%,+15.95%,+57.55%
SLCE3,SLC AGRICOLA,7.29 M,"R$ 19,31","R$ 19,25","R$ 19,49","R$ 19,30",-0.05%,+0.00%,-3.02%
SMTO3,SAO MARTINHO,17.73 M,"R$ 32,20","R$ 31,52","R$ 32,69","R$ 31,57",-1.96%,-2.86%,+1.25%
SOMA3,GRUPO SOMA,4.43 M,"R$ 6,30","R$ 6,26","R$ 6,39","R$ 6,28",-0.32%,+7.17%,-40.64%
SUZB3,SUZANO S.A.,126.20 M,"R$ 53,88","R$ 53,59","R$ 54,14","R$ 53,90",+0.04%,+11.94%,+25.93%
TAEE11,TAESA,34.52 M,"R$ 34,38","R$ 34,23","R$ 34,72","R$ 34,30",-0.23%,+2.42%,-0.47%
TIMS3,TIM,21.02 M,"R$ 16,75","R$ 16,49","R$ 16,89","R$ 16,88",+0.78%,+0.00%,+27.64%
TOTS3,TOTVS,43.62 M,"R$ 28,04","R$ 27,88","R$ 28,56","R$ 28,33",+1.03%,-3.93%,+0.49%
TRPL4,TRAN PAULIST,355.09 M,"R$ 25,34","R$ 24,15","R$ 25,15","R$ 24,73",-2.41%,-2.94%,+7.30%
UGPA3,ULTRAPAR,45.31 M,"R$ 22,57","R$ 22,25","R$ 23,21","R$ 23,18",+2.70%,+0.00%,+26.26%
USIM5,USIMINAS,30.94 M,"R$ 8,40","R$ 8,28","R$ 8,46","R$ 8,38",-0.24%,+10.12%,+21.08%
VALE3,VALE,680.80 M,"R$ 61,17","R$ 60,44","R$ 61,38","R$ 60,83",-0.56%,-0.93%,-0.46%
VAMO3,VAMOS,22.68 M,"R$ 8,77","R$ 8,76","R$ 9,08","R$ 9,00",+2.62%,+21.62%,-19.77%
VBBR3,VIBRA,31.32 M,"R$ 23,06","R$ 23,06","R$ 23,41","R$ 23,33",+1.17%,+0.00%,+50.20%
VIVA3,VIVARA S.A.,10.41 M,"R$ 22,85","R$ 22,69","R$ 23,10","R$ 22,84",-0.04%,+13.80%,-18.87%
VIVT3,TELEF BRASIL,63.82 M,"R$ 49,39","R$ 49,22","R$ 49,84","R$ 49,37",-0.04%,+0.00%,+27.52%
WEGE3,WEG,71.01 M,"R$ 47,40","R$ 47,21","R$ 47,92","R$ 47,32",-0.17%,+16.18%,+26.22%
YDUQ3,YDUQS PART,7.36 M,"R$ 11,51","R$ 11,44","R$ 11,71","R$ 11,48",-0.26%,+4.65%,-41.69%
